Version,Kind
v1alpha2,ResourceClassList
v1alpha2,ResourceClassParameters
v1alpha2,ResourceClassParametersList
v1alpha2,ResourceClassParametersReference
v1alpha2,ResourceFilter
v1alpha2,ResourceHandle
v1alpha2,ResourceRequest
v1alpha2,ResourceSlice
v1alpha2,ResourceSliceList
v1alpha2,StructuredResourceHandle
v1alpha2,VendorParameters
v1beta1,AuditAnnotation
v1beta1,ExpressionWarning
v1beta1,MatchCondition
v1beta1,MatchResources
v1beta1,NamedRuleWithOperations
v1beta1,ParamKind
v1beta1,ParamRef
v1beta1,SelfSubjectReview
v1beta1,SelfSubjectReviewStatus
v1beta1,TypeChecking
v1beta1,ValidatingAdmissionPolicy
v1beta1,ValidatingAdmissionPolicyBinding
v1beta1,ValidatingAdmissionPolicyBindingList
v1beta1,ValidatingAdmissionPolicyBindingSpec
v1beta1,ValidatingAdmissionPolicyList
v1beta1,ValidatingAdmissionPolicySpec
v1beta1,ValidatingAdmissionPolicyStatus
v1beta1,Validation
v1beta1,Variable
v1beta3,ExemptPriorityLevelConfiguration
v1beta3,FlowDistinguisherMethod
v1beta3,FlowSchema
v1beta3,FlowSchemaCondition
v1beta3,FlowSchemaList
v1beta3,FlowSchemaSpec
v1beta3,FlowSchemaStatus
v1beta3,GroupSubject
v1beta3,LimitResponse
v1beta3,LimitedPriorityLevelConfiguration
v1beta3,NonResourcePolicyRule
v1beta3,PolicyRulesWithSubjects
v1beta3,PriorityLevelConfiguration
v1beta3,PriorityLevelConfigurationCondition
v1beta3,PriorityLevelConfigurationList
v1beta3,PriorityLevelConfigurationReference
v1beta3,PriorityLevelConfigurationSpec
v1beta3,PriorityLevelConfigurationStatus
v1beta3,QueuingConfiguration
v1beta3,ResourcePolicyRule
v1beta3,ServiceAccountSubject
v1beta3,Subject
v1beta3,UserSubject
v2,ContainerResourceMetricSource
v2,ContainerResourceMetricStatus
v2,CrossVersionObjectReference
v2,ExternalMetricSource
v2,ExternalMetricStatus
v2,HPAScalingPolicy
v2,HPAScalingRules
v2,HorizontalPodAutoscaler
v2,HorizontalPodAutoscalerBehavior
v2,HorizontalPodAutoscalerCondition
v2,HorizontalPodAutoscalerList
v2,HorizontalPodAutoscalerSpec
v2,HorizontalPodAutoscalerStatus
v2,MetricIdentifier
v2,MetricSpec
v2,MetricStatus
v2,MetricTarget
v2,MetricValueStatus
v2,ObjectMetricSource
v2,ObjectMetricStatus
v2,PodsMetricSource
v2,PodsMetricStatus
v2,ResourceMetricSource
v2,ResourceMetricStatus
version,Info
